season_name,census_date_start,census_date_end,census_days,surveyed_san_telmo,header_notes,research_program,header_id
2013/14,2013-11-22,2013-11-22,1,TRUE,,USAMLR,32
2013/14,2013-11-28,2013-11-28,1,TRUE,,USAMLR,33
2013/14,2013-12-15,2013-12-15,1,TRUE,,USAMLR,34
2013/14,2013-12-19,2013-12-20,2,TRUE,,USAMLR,35
2013/14,2013-12-27,2013-12-27,1,TRUE,,USAMLR,36
2013/14,2014-01-03,2014-01-04,2,TRUE,,USAMLR,37
2013/14,2014-01-10,2014-01-10,1,TRUE,,USAMLR,38
2013/14,2014-01-17,2014-01-17,1,TRUE,,USAMLR,39
2013/14,2014-01-24,2014-01-24,1,TRUE,,USAMLR,40
2013/14,2014-01-31,2014-01-31,1,TRUE,,USAMLR,41
2013/14,2014-02-07,2014-02-07,1,TRUE,,USAMLR,42
2013/14,2014-02-14,2014-02-14,1,TRUE,,USAMLR,43
2013/14,2014-02-22,2014-02-22,1,TRUE,,USAMLR,44
2013/14,2014-03-01,2014-03-01,1,TRUE,,USAMLR,45
2014/15,2014-11-08,2014-11-08,1,TRUE,,USAMLR,46
2014/15,2014-11-14,2014-11-14,1,TRUE,,USAMLR,47
2014/15,2014-11-21,2014-11-21,1,TRUE,,USAMLR,48
2014/15,2014-11-29,2014-11-29,1,TRUE,,USAMLR,49
2014/15,2014-12-05,2014-12-06,2,TRUE,,USAMLR,50
2014/15,2014-12-13,2014-12-13,1,TRUE,,USAMLR,51
2014/15,2014-12-19,2014-12-19,1,TRUE,,USAMLR,52
2014/15,2014-12-26,2014-12-26,1,TRUE,,USAMLR,53
2014/15,2015-01-02,2015-01-02,1,TRUE,,USAMLR,54
2014/15,2015-01-09,2015-01-09,1,TRUE,,USAMLR,55
2014/15,2015-01-16,2015-01-16,1,TRUE,,USAMLR,56
2014/15,2015-01-23,2015-01-23,1,TRUE,,USAMLR,57
2014/15,2015-01-30,2015-01-30,1,TRUE,,USAMLR,58
2014/15,2015-02-06,2015-02-06,1,TRUE,,USAMLR,59
2014/15,2015-02-13,2015-02-13,1,TRUE,,USAMLR,60
2014/15,2015-02-20,2015-02-20,1,TRUE,,USAMLR,61
2014/15,2015-02-27,2015-02-27,1,TRUE,,USAMLR,62
2015/16,2015-10-31,2015-10-31,1,TRUE,,USAMLR,63
2015/16,2015-11-05,2015-11-05,1,TRUE,,USAMLR,64
2015/16,2015-11-13,2015-11-13,1,TRUE,,USAMLR,65
2015/16,2015-11-20,2015-11-20,1,TRUE,,USAMLR,66
2015/16,2015-11-27,2015-11-27,1,TRUE,,USAMLR,67
2015/16,2015-12-04,2015-12-04,1,TRUE,,USAMLR,68
