"season_name","census_date_start","census_date_end","census_days","surveyed_san_telmo","census_phocid_header_notes","census_phocid_header_id"
"2017/18","2018-01-05","2018-01-05",1,TRUE,"","111"
"2017/18","2018-01-13","2018-01-13",1,TRUE,"","112"
"2017/18","2018-01-19","2018-01-19",1,TRUE,"","113"
"2017/18","2018-01-26","2018-01-26",1,TRUE,"","114"
"2017/18","2018-02-02","2018-02-02",1,TRUE,"","115"
"2017/18","2018-02-09","2018-02-09",1,TRUE,"","116"
"2017/18","2018-02-16","2018-02-16",1,TRUE,"","117"
"2017/18","2018-02-23","2018-02-23",1,TRUE,"","118"
"2017/18","2018-03-02","2018-03-02",1,TRUE,"","119"
"2017/18","2018-03-09","2018-03-09",1,TRUE,"","120"
"2018/19","2018-12-21","2018-12-21",1,FALSE,"","121"
"2018/19","2018-12-28","2018-12-28",1,TRUE,"","122"
"2018/19","2019-01-04","2019-01-04",1,TRUE,"","123"
"2018/19","2019-01-11","2019-01-11",1,TRUE,"","124"
"2018/19","2019-01-18","2019-01-18",1,TRUE,"","125"
"2018/19","2019-01-25","2019-01-25",1,TRUE,"","126"
"2018/19","2019-02-01","2019-02-01",1,TRUE,"","127"
"2018/19","2019-02-08","2019-02-08",1,TRUE,"","128"
"2018/19","2019-02-15","2019-02-15",1,TRUE,"","129"
"2018/19","2019-02-22","2019-02-22",1,TRUE,"","130"
"2018/19","2019-03-01","2019-03-01",1,TRUE,"","131"
"2018/19","2019-03-08","2019-03-08",1,TRUE,"","132"
"2019/20","2019-12-13","2019-12-13",1,FALSE,"","133"
"2019/20","2019-12-20","2019-12-20",1,TRUE,"","134"
"2019/20","2019-12-27","2019-12-27",1,TRUE,"","135"
"2019/20","2020-01-03","2020-01-03",1,TRUE,"","136"
"2019/20","2020-01-10","2020-01-10",1,TRUE,"","137"
"2019/20","2020-01-17","2020-01-17",1,TRUE,"","138"
"2019/20","2020-01-24","2020-01-24",1,TRUE,"","139"
"2019/20","2020-01-31","2020-01-31",1,TRUE,"","140"
"2019/20","2020-02-07","2020-02-07",1,TRUE,"","141"
"2019/20","2020-02-14","2020-02-14",1,TRUE,"","142"
"2019/20","2020-02-21","2020-02-21",1,TRUE,"","143"
"2019/20","2020-02-28","2020-02-28",1,TRUE,"","144"
"2019/20","2020-03-06","2020-03-06",1,TRUE,"","145"
"2021/22","2021-11-26","2021-11-26",1,TRUE,"","146"
"2021/22","2021-12-02","2021-12-02",1,TRUE,"","147"
"2021/22","2021-12-10","2021-12-10",1,TRUE,"","148"
