"season_name","census_date_start","census_date_end","surveyed_san_telmo","observer","census_date","time_start","time_end","location","location_group","species","total_count","total_count_nodead","ad_female_count","ad_male_count","ad_unk_count","juv_female_count","juv_male_count","juv_unk_count","pup_live_count","pup_dead_count","unk_female_count","unk_male_count","unk_unk_count","header_notes","census_notes","census_phocid_header_id","census_id","research_program","notes"
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Maderas",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Marko",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Media Luna",,"Crabeater seal",1,,0,1,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Modulo",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Nibaldo",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Papua",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Paulina, Playa",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Roquerio",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Schiappacasse, Playa",,"Crabeater seal",0,,0,0,,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Alcazar",,"Elephant seal",0,,0,0,,0,0,,0,,,,0,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Aranda",,"Elephant seal",8,,2,0,,1,1,,0,,,,4,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Ballena Norte",,"Elephant seal",17,,0,2,,0,8,,0,,,,7,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Chungungo",,"Elephant seal",0,,0,0,,0,0,,0,,,,0,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"del Canal, Playa",,"Elephant seal",1,,0,0,,0,0,,0,,,,1,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"del Lobero, Playa",,"Elephant seal",0,,0,0,,0,0,,0,,,,0,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Larga",,"Elephant seal",5,,0,0,,2,0,,1,,,,2,,,"1997/98-2",,"INACH","pups: 0 females; 1 malesNA unknowns"
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Maderas",,"Elephant seal",1,,0,0,,0,0,,1,,,,0,,,"1997/98-2",,"INACH","pups: 1 females; 0 malesNA unknowns"
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Marko",,"Elephant seal",4,,0,0,,0,3,,1,,,,0,,,"1997/98-2",,"INACH","pups: 1 females; 0 malesNA unknowns"
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Media Luna",,"Elephant seal",224,,2,5,,17,172,,12,,,,16,,,"1997/98-2",,"INACH","pups: 4 females; 8 malesNA unknowns"
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Modulo",,"Elephant seal",5,,0,0,,1,3,,0,,,,1,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Nibaldo",,"Elephant seal",0,,0,0,,0,0,,0,,,,0,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Papua",,"Elephant seal",5,,1,0,,0,0,,0,,,,4,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Paulina, Playa",,"Elephant seal",1,,0,0,,0,0,,0,,,,1,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Roquerio",,"Elephant seal",1,,0,0,,0,1,,0,,,,0,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Schiappacasse, Playa",,"Elephant seal",3,,0,0,,1,1,,0,,,,1,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Alcazar",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Aranda",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Ballena Norte",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Chungungo",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"del Canal, Playa",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Larga",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Loberia",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Maderas",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Marko",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-2",,"INACH",
"1997/98","1997-12-18","1997-12-18",FALSE,,"1997-12-18",,,"Media Luna",,"Leopard seal",0,,0,0,0,,,,,,,,,,,"1997/98-2",,"INACH",
