count_id,event_id,location,species,species_common,total_count,ad_female_count,ad_male_count,ad_unk_count,juv_female_count,juv_male_count,juv_unk_count,pup_count,unk_female_count,unk_male_count,unk_unk_count
18-1-231417,18,Core census locations,Hydrurga leptonyx,Leopard seal,0,0,0,0,0,0,0,0,,,
18-1-195932,18,Core census locations,Leptonychotes weddellii,Weddell seal,26,9,10,1,1,1,0,4,,,
18-2-344008,18,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
18-2-231413,18,Punta San Telmo,Mirounga leonina,Southern elephant seal,71,4,23,0,0,30,4,2,,,8
18-2-231417,18,Punta San Telmo,Hydrurga leptonyx,Leopard seal,0,0,0,0,0,0,0,0,,,
18-2-195932,18,Punta San Telmo,Leptonychotes weddellii,Weddell seal,16,3,3,2,1,3,3,1,,,
19-1-344008,19,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
19-1-231413,19,Core census locations,Mirounga leonina,Southern elephant seal,235,14,3,0,19,106,81,7,,,5
19-1-231417,19,Core census locations,Hydrurga leptonyx,Leopard seal,2,1,0,1,0,0,0,0,,,
19-1-195932,19,Core census locations,Leptonychotes weddellii,Weddell seal,27,8,7,2,0,4,1,5,,,
19-2-344008,19,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
19-2-231413,19,Punta San Telmo,Mirounga leonina,Southern elephant seal,71,0,0,0,12,30,29,0,,,0
19-2-231417,19,Punta San Telmo,Hydrurga leptonyx,Leopard seal,0,0,0,0,0,0,0,0,,,
19-2-195932,19,Punta San Telmo,Leptonychotes weddellii,Weddell seal,17,7,3,4,2,1,0,0,,,
20-1-344008,20,Core census locations,Lobodon carcinophaga,Crabeater seal,2,0,1,1,0,0,0,0,,,
20-1-231413,20,Core census locations,Mirounga leonina,Southern elephant seal,196,24,7,0,25,100,31,3,,,6
20-1-231417,20,Core census locations,Hydrurga leptonyx,Leopard seal,2,1,0,1,0,0,0,0,,,
20-1-195932,20,Core census locations,Leptonychotes weddellii,Weddell seal,34,9,11,3,6,3,1,1,,,
20-2-344008,20,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
20-2-231413,20,Punta San Telmo,Mirounga leonina,Southern elephant seal,63,0,0,0,6,37,18,2,,,0
20-2-231417,20,Punta San Telmo,Hydrurga leptonyx,Leopard seal,0,0,0,0,0,0,0,0,,,
20-2-195932,20,Punta San Telmo,Leptonychotes weddellii,Weddell seal,9,0,0,3,1,2,1,2,,,
21-1-344008,21,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
21-1-231413,21,Core census locations,Mirounga leonina,Southern elephant seal,184,36,1,0,32,67,45,3,,,0
21-1-231417,21,Core census locations,Hydrurga leptonyx,Leopard seal,1,1,0,0,0,0,0,0,,,
21-1-195932,21,Core census locations,Leptonychotes weddellii,Weddell seal,13,5,2,2,2,1,0,1,,,
21-2-344008,21,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,1,1,0,0,0,0,0,0,,,
21-2-231413,21,Punta San Telmo,Mirounga leonina,Southern elephant seal,41,0,0,0,8,27,4,2,,,0
21-2-231417,21,Punta San Telmo,Hydrurga leptonyx,Leopard seal,1,1,0,0,0,0,0,0,,,
21-2-195932,21,Punta San Telmo,Leptonychotes weddellii,Weddell seal,17,8,5,0,3,1,0,0,,,
22-1-344008,22,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
22-1-231413,22,Core census locations,Mirounga leonina,Southern elephant seal,51,6,0,0,6,5,34,0,,,0
22-1-231417,22,Core census locations,Hydrurga leptonyx,Leopard seal,1,1,0,0,0,0,0,0,,,
22-1-195932,22,Core census locations,Leptonychotes weddellii,Weddell seal,10,3,1,0,3,3,0,0,,,
22-2-344008,22,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
22-2-231413,22,Punta San Telmo,Mirounga leonina,Southern elephant seal,10,0,2,0,3,2,3,0,,,0
22-2-231417,22,Punta San Telmo,Hydrurga leptonyx,Leopard seal,0,0,0,0,0,0,0,0,,,
22-2-195932,22,Punta San Telmo,Leptonychotes weddellii,Weddell seal,9,2,0,0,2,2,3,0,,,
23-1-344008,23,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
23-1-231413,23,Core census locations,Mirounga leonina,Southern elephant seal,206,90,2,0,6,38,64,0,,,6
23-1-231417,23,Core census locations,Hydrurga leptonyx,Leopard seal,10,10,0,0,0,0,0,0,,,
23-1-195932,23,Core census locations,Leptonychotes weddellii,Weddell seal,8,2,1,0,1,2,2,0,,,
23-2-344008,23,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
23-2-231413,23,Punta San Telmo,Mirounga leonina,Southern elephant seal,4,1,1,0,1,0,1,0,,,0
23-2-231417,23,Punta San Telmo,Hydrurga leptonyx,Leopard seal,0,0,0,0,0,0,0,0,,,
23-2-195932,23,Punta San Telmo,Leptonychotes weddellii,Weddell seal,2,0,1,0,0,1,0,0,,,
24-1-344008,24,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
24-1-231413,24,Core census locations,Mirounga leonina,Southern elephant seal,252,201,2,0,7,21,19,0,,,2
24-1-231417,24,Core census locations,Hydrurga leptonyx,Leopard seal,16,15,1,0,0,0,0,0,,,
24-1-195932,24,Core census locations,Leptonychotes weddellii,Weddell seal,16,7,3,1,2,3,0,0,,,
24-2-344008,24,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
24-2-231413,24,Punta San Telmo,Mirounga leonina,Southern elephant seal,6,1,0,0,4,0,0,1,,,0
24-2-231417,24,Punta San Telmo,Hydrurga leptonyx,Leopard seal,3,3,0,0,0,0,0,0,,,
24-2-195932,24,Punta San Telmo,Leptonychotes weddellii,Weddell seal,19,6,6,3,2,2,0,0,,,
25-1-344008,25,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
25-1-231413,25,Core census locations,Mirounga leonina,Southern elephant seal,262,234,0,0,6,13,8,1,,,0
25-1-231417,25,Core census locations,Hydrurga leptonyx,Leopard seal,18,15,2,0,0,0,1,0,,,
25-1-195932,25,Core census locations,Leptonychotes weddellii,Weddell seal,16,5,3,1,2,3,0,2,,,
25-2-344008,25,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
25-2-231413,25,Punta San Telmo,Mirounga leonina,Southern elephant seal,9,1,1,0,5,0,2,0,,,0
25-2-231417,25,Punta San Telmo,Hydrurga leptonyx,Leopard seal,6,6,0,0,0,0,0,0,,,
25-2-195932,25,Punta San Telmo,Leptonychotes weddellii,Weddell seal,13,1,0,2,8,0,1,1,,,
26-1-344008,26,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
26-1-231413,26,Core census locations,Mirounga leonina,Southern elephant seal,242,217,4,0,4,10,7,0,,,0
26-1-231417,26,Core census locations,Hydrurga leptonyx,Leopard seal,10,10,0,0,0,0,0,0,,,
26-1-195932,26,Core census locations,Leptonychotes weddellii,Weddell seal,4,2,0,1,1,0,0,0,,,
26-2-344008,26,Punta San Telmo,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
26-2-231413,26,Punta San Telmo,Mirounga leonina,Southern elephant seal,3,1,0,0,2,0,0,0,,,0
26-2-231417,26,Punta San Telmo,Hydrurga leptonyx,Leopard seal,7,7,0,0,0,0,0,0,,,
26-2-195932,26,Punta San Telmo,Leptonychotes weddellii,Weddell seal,9,4,1,2,2,0,0,0,,,
27-1-344008,27,Core census locations,Lobodon carcinophaga,Crabeater seal,0,0,0,0,0,0,0,0,,,
