"header_id","season_name","week","census_date","location","species","ad_male_count","ad_female_count","ad_unk_count","juv_male_count","juv_female_count","juv_unk_count","pup_male_count","pup_female_count","pup_unk_count","unk_unk_count","notes","research_program"
"1997/98-03","1997/98",3,1997-12-24,"Larga","Elephant seal",0,0,NA,40,4,NA,1,2,NA,1,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Larga","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Larga","Weddell seal",1,2,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Marko","Crabeater seal",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Marko","Elephant seal",0,0,NA,4,3,NA,0,2,NA,0,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Marko","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Marko","Weddell seal",1,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Media Luna","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Media Luna","Elephant seal",0,3,NA,105,22,NA,4,5,NA,30,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Media Luna","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Media Luna","Weddell seal",1,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Modulo","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Modulo","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Modulo","Weddell seal",1,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Nibaldo","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Nibaldo","Elephant seal",1,0,NA,1,0,NA,0,0,NA,0,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Nibaldo","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Nibaldo","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Papua","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Papua","Elephant seal",0,3,NA,1,0,NA,0,0,NA,2,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Papua","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Papua","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Pinochet de la Barra","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Pinochet de la Barra","Elephant seal",0,0,NA,0,0,NA,0,0,NA,0,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Pinochet de la Barra","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Pinochet de la Barra","Weddell seal",0,1,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"El Plastico, Playa","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"El Plastico, Playa","Elephant seal",0,1,NA,0,0,NA,0,0,NA,1,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"El Plastico, Playa","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"El Plastico, Playa","Weddell seal",0,0,NA,0,0,NA,0,0,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Roquerio","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Roquerio","Elephant seal",0,0,NA,0,0,NA,0,0,NA,0,NA,"INACH"
"1997/98-03","1997/98",3,1997-12-24,"Roquerio","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"INACH"
