"header_id","season_name","census_date_start","census_date_end","census_days","surveyed_san_telmo","header_notes","research_program","species","location","time_start","time_end","total_count","ad_female_count","ad_male_count","ad_unk_count","juv_female_count","juv_male_count","juv_unk_count","pup_live_count","pup_dead_count","unk_female_count","unk_male_count","unk_unk_count","census_notes","orig_record"
"1999/00-04","1999/00",1999-12-27,1999-12-27,1,FALSE,NA,"INACH","Elephant seal","Cape Shirreff core locations",NA,NA,268,0,0,0,27,36,0,35,0,0,0,170,"pups: 1 females, 1 males, 3 unknowns; pups: 0 females, 1 males, 8 unknowns; pups: 1 females, 3 males, 14 unknowns; pups: 0 females, 0 males, 1 unknowns; pups: 1 females, 0 males, 0 unknowns; pups: 0 females, 0 males, 1 unknowns",TRUE
"1999/00-04","1999/00",1999-12-27,1999-12-27,1,FALSE,NA,"INACH","Leopard seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1999/00-04","1999/00",1999-12-27,1999-12-27,1,FALSE,NA,"INACH","Weddell seal","Cape Shirreff core locations",NA,NA,23,5,3,0,9,6,0,0,0,0,0,0,NA,TRUE
"1999/00-05","1999/00",2000-01-03,2000-01-03,1,FALSE,NA,"INACH","Crabeater seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
"1999/00-05","1999/00",2000-01-03,2000-01-03,1,FALSE,NA,"INACH","Elephant seal","Cape Shirreff core locations",NA,NA,244,1,1,0,36,50,0,14,0,0,0,142,"pups: 1 females, 0 males, 0 unknowns; pups: 0 females, 1 males, 0 unknowns; pups: 0 females, 1 males, 0 unknowns; pups: 0 females, 0 males, 1 unknowns; pups: 2 females, 1 males, 5 unknowns; pups: 1 females, 0 males, 1 unknowns",TRUE
"1999/00-05","1999/00",2000-01-03,2000-01-03,1,FALSE,NA,"INACH","Leopard seal","Cape Shirreff core locations",NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,NA,TRUE
"1999/00-05","1999/00",2000-01-03,2000-01-03,1,FALSE,NA,"INACH","Weddell seal","Cape Shirreff core locations",NA,NA,21,4,4,0,8,5,0,0,0,0,0,0,NA,TRUE
"1999/00-06","1999/00",2000-01-10,2000-01-10,1,FALSE,NA,"INACH","Crabeater seal","Cape Shirreff core locations",NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,NA,TRUE
"1999/00-06","1999/00",2000-01-10,2000-01-10,1,FALSE,NA,"INACH","Elephant seal","Cape Shirreff core locations",NA,NA,297,1,0,0,54,64,0,13,0,0,0,165,"pups: 0 females, 0 males, 1 unknowns; pups: 3 females, 0 males, 1 unknowns; pups: 5 females, 1 males, 2 unknowns",TRUE
"1999/00-06","1999/00",2000-01-10,2000-01-10,1,FALSE,NA,"INACH","Leopard seal","Cape Shirreff core locations",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,TRUE
