"season_name","census_date","time_start","time_end","location","species","ad_female_count","ad_male_count","ad_unk_count","juv_female_count","juv_male_count","juv_unk_count","pup_live_count","pup_dead_count","unk_female_count","unk_male_count","unk_unk_count","census_notes","orig_record","header_id","total_count","total_count_nodead"
"1997/98",1997-12-24,,,"Modulo","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Modulo","Elephant seal",0,0,,2,1,,0,,,,0,,,"1997/98-03",3,
"1997/98",1997-12-24,,,"Modulo","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Modulo","Weddell seal",0,1,,0,0,,0,,,,,,,"1997/98-03",1,
"1997/98",1997-12-24,,,"Nibaldo","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Nibaldo","Elephant seal",0,1,,0,1,,0,,,,0,,,"1997/98-03",2,
"1997/98",1997-12-24,,,"Nibaldo","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Nibaldo","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Papua","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Papua","Elephant seal",3,0,,0,1,,0,,,,2,,,"1997/98-03",6,
"1997/98",1997-12-24,,,"Papua","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Papua","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Pinochet de la Barra","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Pinochet de la Barra","Elephant seal",0,0,,0,0,,0,,,,0,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Pinochet de la Barra","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Pinochet de la Barra","Weddell seal",1,0,,0,0,,0,,,,,,,"1997/98-03",1,
"1997/98",1997-12-24,,,"Roquerio","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Roquerio","Elephant seal",0,0,,0,0,,0,,,,0,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Roquerio","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-03",0,
"1997/98",1997-12-24,,,"Roquerio","Weddell seal",0,1,,0,0,,0,,,,,,,"1997/98-03",1,
"1997/98",1998-01-01,,,"Alcazar","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Alcazar","Elephant seal",0,0,,1,0,,0,,,,0,,,"1997/98-04",1,
"1997/98",1998-01-01,,,"Alcazar","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Alcazar","Weddell seal",7,8,,0,0,,0,,,,,,,"1997/98-04",15,
"1997/98",1998-01-01,,,"Aranda","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Aranda","Elephant seal",1,0,,0,9,,0,,,,1,,,"1997/98-04",11,
"1997/98",1998-01-01,,,"Aranda","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Aranda","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Bahamonde","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Bahamonde","Elephant seal",1,7,,0,0,,0,,,,0,,,"1997/98-04",8,
"1997/98",1998-01-01,,,"Bahamonde","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Bahamonde","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Ballena Norte","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Ballena Norte","Elephant seal",0,0,,0,4,,0,,,,1,,,"1997/98-04",5,
"1997/98",1998-01-01,,,"Ballena Norte","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Ballena Norte","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Cachorros","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Cachorros","Elephant seal",2,0,,0,0,,0,,,,2,,,"1997/98-04",4,
"1997/98",1998-01-01,,,"Cachorros","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Cachorros","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Chungungo","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Chungungo","Elephant seal",0,0,,0,3,,0,,,,1,,,"1997/98-04",4,
"1997/98",1998-01-01,,,"Chungungo","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Chungungo","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Copihue","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Copihue","Elephant seal",0,0,,2,0,,0,,,,0,,,"1997/98-04",2,
"1997/98",1998-01-01,,,"Copihue","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Copihue","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Daniel","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Daniel","Elephant seal",0,0,,1,0,,0,,,,0,,,"1997/98-04",1,
"1997/98",1998-01-01,,,"Daniel","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Daniel","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"del Canal, Playa","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"del Canal, Playa","Elephant seal",0,0,,1,0,,0,,,,0,,,"1997/98-04",1,
"1997/98",1998-01-01,,,"del Canal, Playa","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"del Canal, Playa","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"El Plastico, Playa","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"El Plastico, Playa","Elephant seal",4,0,,3,5,,0,,,,0,,,"1997/98-04",12,
"1997/98",1998-01-01,,,"El Plastico, Playa","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"El Plastico, Playa","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Larga","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Larga","Elephant seal",0,2,,1,40,,3,,,,3,"pups: 3 females; 0 males; NA unknowns",,"1997/98-04",49,
"1997/98",1998-01-01,,,"Larga","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Larga","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Marko","Crabeater seal",0,0,,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Marko","Elephant seal",0,0,,2,33,,3,,,,1,"pups: 1 females; 2 males; NA unknowns",,"1997/98-04",39,
"1997/98",1998-01-01,,,"Marko","Leopard seal",0,0,0,,,,,,,,,,,"1997/98-04",0,
"1997/98",1998-01-01,,,"Marko","Weddell seal",0,0,,0,0,,0,,,,,,,"1997/98-04",0,
