header_id,season_name,species,location,time_start,time_end,total_count,ad_female_count,ad_male_count,ad_unk_count,juv_female_count,juv_male_count,juv_unk_count,pup_live_count,pup_dead_count,unk_female_count,unk_male_count,unk_unk_count,census_notes,orig_record
3/1/2002,2002/03,Weddell seal,Cape Shirreff core locations,,,1,0,1,0,0,0,0,0,0,0,0,0,,TRUE
3/2/2002,2002/03,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
3/2/2002,2002/03,Elephant seal,Cape Shirreff core locations,,,17,3,3,0,0,0,0,9,0,0,0,2,"pups: 2 females, 0 males, 0 unknowns; pups: 0 females, 2 males, 5 unknowns",TRUE
3/2/2002,2002/03,Leopard seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
3/2/2002,2002/03,Weddell seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
3/3/2002,2002/03,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
3/3/2002,2002/03,Elephant seal,Cape Shirreff core locations,,,75,1,5,0,3,10,0,10,0,0,0,46,"pups: 2 females, 0 males, 0 unknowns; pups: 0 females, 0 males, 1 unknowns; pups: 0 females, 1 males, 0 unknowns; pups: 0 females, 1 males, 0 unknowns; pups: 1 females, 4 males, 0 unknowns",TRUE
3/3/2002,2002/03,Leopard seal,Cape Shirreff core locations,,,1,0,0,1,0,0,0,0,0,0,0,0,,TRUE
3/3/2002,2002/03,Weddell seal,Cape Shirreff core locations,,,9,2,5,0,0,2,0,0,0,0,0,0,,TRUE
3/4/2002,2002/03,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
3/4/2002,2002/03,Elephant seal,Cape Shirreff core locations,,,43,0,1,0,0,20,0,5,0,0,0,17,"pups: 1 females, 4 males, 0 unknowns",TRUE
3/4/2002,2002/03,Leopard seal,Cape Shirreff core locations,,,2,0,0,2,0,0,0,0,0,0,0,0,,TRUE
3/4/2002,2002/03,Weddell seal,Cape Shirreff core locations,,,21,5,8,0,3,4,0,1,0,0,0,0,"pups: 0 females, 1 males, NA unknowns",TRUE
3/5/2002,2002/03,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
3/5/2002,2002/03,Elephant seal,Cape Shirreff core locations,,,55,1,3,0,0,19,0,2,0,0,0,30,"pups: 1 females, 1 males, 0 unknowns",TRUE
3/5/2002,2002/03,Leopard seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
3/5/2002,2002/03,Weddell seal,Cape Shirreff core locations,,,12,7,2,0,0,3,0,0,0,0,0,0,,TRUE
3/6/2002,2002/03,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
3/6/2002,2002/03,Elephant seal,Cape Shirreff core locations,,,42,2,3,0,1,7,0,2,0,0,0,27,"pups: 0 females, 0 males, 1 unknowns; pups: 0 females, 1 males, 0 unknowns",TRUE
3/6/2002,2002/03,Leopard seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
3/6/2002,2002/03,Weddell seal,Cape Shirreff core locations,,,4,1,3,0,0,0,0,0,0,0,0,0,,TRUE
3/7/2002,2002/03,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
3/7/2002,2002/03,Elephant seal,Cape Shirreff core locations,,,139,12,8,0,19,24,0,5,0,0,0,71,"pups: 0 females, 5 males, 0 unknowns",TRUE
3/7/2002,2002/03,Leopard seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
3/7/2002,2002/03,Weddell seal,Cape Shirreff core locations,,,23,9,6,0,6,2,0,0,0,0,0,0,,TRUE
3/8/2002,2002/03,Crabeater seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
3/8/2002,2002/03,Elephant seal,Cape Shirreff core locations,,,184,21,11,0,15,65,0,3,0,0,0,69,"pups: 0 females, 0 males, 1 unknowns; pups: 1 females, 0 males, 1 unknowns",TRUE
3/8/2002,2002/03,Leopard seal,Cape Shirreff core locations,,,0,0,0,0,0,0,0,0,0,0,0,0,,TRUE
3/8/2002,2002/03,Weddell seal,Cape Shirreff core locations,,,25,8,11,0,3,2,0,1,0,0,0,0,"pups: 0 females, 1 males, NA unknowns",TRUE
3/9/2002,2002/03,Crabeater seal,Cape Shirreff core locations,,,1,0,1,0,0,0,0,0,0,0,0,0,,TRUE
3/9/2002,2002/03,Elephant seal,Cape Shirreff core locations,,,130,16,5,0,13,28,0,0,0,0,0,68,,TRUE
