"header_id","season_name","census_date","location","location_group","species","ad_male_count","ad_female_count","ad_unk_count","juv_male_count","juv_female_count","juv_unk_count","pup_live_count","unk_unk_count","notes","research_program"
"1997/98-02","1997/98",1997-12-18,"del Canal, Playa","del Canal, Playa","Weddell seal",0,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"del Lobero, Playa","del Lobero, Playa","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"del Lobero, Playa","del Lobero, Playa","Elephant seal",0,0,NA,0,0,NA,0,0,NA,"INACH"
"1997/98-02","1997/98",1997-12-18,"del Lobero, Playa","del Lobero, Playa","Weddell seal",0,0,NA,1,0,NA,0,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Aranda","Aranda","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Aranda","Aranda","Elephant seal",0,7,NA,0,0,NA,9,3,"pups: 0 females, 9 males, NA unknowns","INACH"
"1997/98-03","1997/98",1997-12-24,"Aranda","Aranda","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Aranda","Aranda","Weddell seal",0,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Bahamonde","Bahamonde","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Bahamonde","Bahamonde","Elephant seal",1,0,NA,0,0,NA,0,0,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Bahamonde","Bahamonde","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Bahamonde","Bahamonde","Weddell seal",0,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Ballena Norte","Ballena Norte","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Ballena Norte","Ballena Norte","Elephant seal",7,0,NA,0,0,NA,0,2,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Ballena Norte","Ballena Norte","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Ballena Norte","Ballena Norte","Weddell seal",0,0,NA,1,0,NA,0,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Chungungo","Chungungo","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Chungungo","Chungungo","Elephant seal",0,4,NA,5,0,NA,0,0,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Chungungo","Chungungo","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Chungungo","Chungungo","Weddell seal",0,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"El Plastico, Playa","El Plastico, Playa","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"El Plastico, Playa","El Plastico, Playa","Elephant seal",0,1,NA,0,0,NA,0,1,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"El Plastico, Playa","El Plastico, Playa","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"El Plastico, Playa","El Plastico, Playa","Weddell seal",0,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Larga","Larga","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Larga","Larga","Elephant seal",0,0,NA,40,4,NA,3,1,"pups: 2 females, 1 males, NA unknowns","INACH"
"1997/98-03","1997/98",1997-12-24,"Larga","Larga","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Larga","Larga","Weddell seal",1,2,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Marko","Marko","Crabeater seal",1,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Marko","Marko","Elephant seal",0,0,NA,4,3,NA,2,0,"pups: 2 females, 0 males, NA unknowns","INACH"
"1997/98-03","1997/98",1997-12-24,"Marko","Marko","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Marko","Marko","Weddell seal",1,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Media Luna","Media Luna","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Media Luna","Media Luna","Elephant seal",0,3,NA,105,22,NA,9,30,"pups: 5 females, 4 males, NA unknowns","INACH"
"1997/98-03","1997/98",1997-12-24,"Media Luna","Media Luna","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Media Luna","Media Luna","Weddell seal",1,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Modulo","Modulo","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Modulo","Modulo","Elephant seal",0,0,NA,1,2,NA,0,0,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Modulo","Modulo","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Modulo","Modulo","Weddell seal",1,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Nibaldo","Nibaldo","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Nibaldo","Nibaldo","Elephant seal",1,0,NA,1,0,NA,0,0,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Nibaldo","Nibaldo","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Nibaldo","Nibaldo","Weddell seal",0,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Papua","Papua","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Papua","Papua","Elephant seal",0,3,NA,1,0,NA,0,2,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Papua","Papua","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Papua","Papua","Weddell seal",0,0,NA,0,0,NA,0,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Pinochet de la Barra","Pinochet de la Barra","Crabeater seal",0,0,NA,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Pinochet de la Barra","Pinochet de la Barra","Elephant seal",0,0,NA,0,0,NA,0,0,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Pinochet de la Barra","Pinochet de la Barra","Leopard seal",0,0,0,NA,NA,NA,NA,NA,NA,"INACH"
"1997/98-03","1997/98",1997-12-24,"Pinochet de la Barra","Pinochet de la Barra","Weddell seal",0,1,NA,0,0,NA,0,NA,NA,"INACH"
